Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_F1_Macro,Val_F1_Weighted,Val_Precision,Val_Recall,Learning_Rate
1,1.3620083125138485,0.5177677677677678,0.44783057348616423,0.8268268268268268,0.8238391370785055,0.8177054361659697,0.830710939986047,0.8337456006867284,0.0001
2,0.40314485030012204,0.8295795795795796,0.28268992195295867,0.8498498498498499,0.8562617374256354,0.8508299434156701,0.8631878800998108,0.8564217766429765,0.0001
3,0.2526622601323503,0.8783783783783784,0.18827634276883326,0.8988988988988988,0.8724761542349201,0.8698510987741566,0.9381378522467632,0.8987721413594963,0.0001
4,0.1838337076395008,0.9094094094094094,0.1546530417623362,0.9059059059059059,0.9003735152893668,0.8949969361060528,0.9413490281478675,0.9127932567482708,0.0001
5,0.14964689579850987,0.9334334334334334,0.09036400414577883,0.94994994994995,0.9495346724219963,0.9477389825981376,0.9624785449157953,0.9501685551564876,0.0001
6,0.12418929901293228,0.9424424424424425,0.06203679067070181,0.9619619619619619,0.9631396921491555,0.9614614114037203,0.9664774179319724,0.9643997524416531,0.0001
7,0.10466549445327046,0.9507007007007007,0.07607009550240253,0.964964964964965,0.9651060307182687,0.9639838437353536,0.9744934532952967,0.9648872173144016,0.0001
8,0.09043599179960718,0.960960960960961,0.060491527162972486,0.972972972972973,0.9737015542473119,0.9726992966886506,0.9770445746393942,0.9732388718712129,0.0001
9,0.07933928575411307,0.9619619619619619,0.08242078511724707,0.9629629629629629,0.9638554502984521,0.9623859159182897,0.9712473726172356,0.9655694716613179,0.0001
10,0.07283145643056366,0.9682182182182182,0.06450724020266631,0.965965965965966,0.9669848360147362,0.9655890784802906,0.9725986948947354,0.9686095403798753,0.0001
11,0.06624178345488639,0.9704704704704705,0.07081819670388043,0.95995995995996,0.9616601802963073,0.9599778256727762,0.96164994425864,0.9617799617799617,0.0001
12,0.07228842353516761,0.9684684684684685,0.05569532466532326,0.972972972972973,0.973657558764401,0.9726736247500914,0.9761983377858551,0.9733215992266676,0.0001
13,0.07143640154244746,0.9652152152152152,0.059124019477899394,0.9669669669669669,0.968431924599338,0.9670056802625724,0.9698330026455027,0.9689701403297541,0.0001
14,0.06995398896986611,0.9672172172172172,0.050502090369523696,0.973973973973974,0.9748322101223699,0.9738428324280114,0.9778115501519759,0.9742830194670847,0.0001
15,0.05994928023800937,0.9654654654654654,0.06358133874875478,0.960960960960961,0.9626096389276305,0.9608745705258954,0.9639423076923078,0.9632773269136905,0.0001
16,0.058661703867589544,0.96996996996997,0.06469809809788069,0.972972972972973,0.9735356185478812,0.9725233703446216,0.9789211001380482,0.9730557003284276,0.0001
17,0.07125512020745021,0.9684684684684685,0.049590837401318526,0.972972972972973,0.9729785161257242,0.9722819265966475,0.977503659131566,0.9730557003284276,0.0001
18,0.06223113278324002,0.9684684684684685,0.06541618518923496,0.9669669669669669,0.967958058958432,0.9665440216003632,0.9740675990675991,0.9694697679702367,0.0001
19,0.06748262132591949,0.9694694694694694,0.04680772508712919,0.96996996996997,0.9711508557517947,0.9697790927524886,0.9763593380614657,0.9723867801100303,0.0001
20,0.05303478803696331,0.9694694694694694,0.041257463937547756,0.9719719719719719,0.9730820549795713,0.9717963656204874,0.9763098723007084,0.9741228832137924,0.0001
21,0.039095040254709605,0.9782282282282282,0.04332247189659938,0.970970970970971,0.9720346574058488,0.9706717921932181,0.976984126984127,0.9733700642791552,5e-05
22,0.03905005523913437,0.9757257257257257,0.043267449255489254,0.9769769769769769,0.9776196557805754,0.9767375476187736,0.9809178743961352,0.9771424316878863,5e-05
23,0.04244369109852526,0.975975975975976,0.039257667895629254,0.9769769769769769,0.9775688519800659,0.976693451865122,0.9815510346026779,0.9770597043324316,5e-05
24,0.037331699327682245,0.9722222222222222,0.039657340852989935,0.9769769769769769,0.9775688519800659,0.976693451865122,0.9815510346026779,0.9770597043324316,5e-05
25,0.04696562017665007,0.9732232232232232,0.038408315992225196,0.970970970970971,0.9720346574058488,0.9706717921932181,0.976984126984127,0.9733700642791552,5e-05
26,0.03880371724498796,0.9754754754754755,0.08903339233246833,0.953953953953954,0.9533704626862569,0.9517920511349456,0.9682211432795859,0.9539716707858301,5e-05
27,0.04122856774288685,0.9754754754754755,0.09048474200219812,0.955955955955956,0.9551217144449349,0.9537540224054416,0.9621475858190833,0.9594305048850504,5e-05
28,0.047143560483924964,0.975975975975976,0.038387362668367356,0.96996996996997,0.9711508557517947,0.9697790927524886,0.9763593380614657,0.9723867801100303,5e-05
29,0.036193286756221674,0.9752252252252253,0.04273858195664911,0.96996996996997,0.9710492163322352,0.9696327054817621,0.9763593380614657,0.9724517906336089,2.5e-05
30,0.033460317447416864,0.97997997997998,0.04294958666575553,0.9769769769769769,0.9775688519800659,0.976693451865122,0.9815510346026779,0.9770597043324316,2.5e-05
31,0.03937606074638874,0.9772272272272272,0.037945844725561985,0.972972972972973,0.9741259131210617,0.9729352951903557,0.975192173305381,0.9747102474375201,2.5e-05
32,0.03441760139026622,0.9757257257257257,0.04012718622143029,0.970970970970971,0.9720346574058488,0.9706717921932181,0.976984126984127,0.9733700642791552,2.5e-05
33,0.03448547495775181,0.9767267267267268,0.04098295546918962,0.970970970970971,0.9722093140929923,0.9709844605474637,0.9722222222222222,0.9723773360136997,2.5e-05
34,0.03279005713843004,0.9792292292292293,0.03545863377386831,0.9719719719719719,0.9731721016288366,0.9719844733225643,0.9732276311986457,0.9733783370147007,2.5e-05
35,0.0371638220344869,0.9774774774774775,0.03782532511407953,0.975975975975976,0.9768265463862947,0.9759076476896184,0.9779894656132281,0.9764900569405799,2.5e-05
36,0.033455355408521986,0.9784784784784785,0.0398029202668049,0.975975975975976,0.9767190988685682,0.9757879351467067,0.9791010372646947,0.9763068853977944,2.5e-05
37,0.03233742562894508,0.9787287287287287,0.037721625013911304,0.9719719719719719,0.9731481481481481,0.9719803136469803,0.9731125488543501,0.9732128823037913,1.25e-05
