Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_F1_Macro,Val_F1_Weighted,Val_Precision,Val_Recall
0,8.329061353710335,0.06505700871898056,5.373183396322798,0.14075067024128687,0.12226811654157846,0.12194615194818151,0.1480148221985289,0.14256209448449078
1,5.784125265301193,0.08718980549966465,4.3086591124854206,0.09785522788203753,0.09295242334223186,0.09429341632441465,0.19495032266283463,0.09856870043555356
2,3.124737466904719,0.11871227364185111,3.2633478604756476,0.19302949061662197,0.18574762781589185,0.18299636822979498,0.229179449894529,0.19579326416892812
3,2.3824712652875464,0.2052313883299799,2.745197437563786,0.3063002680965147,0.3110827042583085,0.3054798465212451,0.4374882559460578,0.31643119319154467
4,2.1488982783236974,0.26441985244802146,3.394173240294086,0.282171581769437,0.2908746976537689,0.28547101938586134,0.415001945478887,0.2882472583958704
5,1.898634036342063,0.318075117370892,2.1335087925115794,0.4222520107238606,0.38512680505231134,0.37773840886487936,0.4714519434892844,0.43611577115502564
6,1.7226260505831537,0.37307176391683433,1.6622546840978452,0.5328418230563002,0.5197527191515298,0.508300062690451,0.5628818498402504,0.5456528588148482
7,1.4980427179058313,0.4396378269617706,1.758832892507874,0.4865951742627346,0.4792669430590268,0.47646347440263737,0.5794156816016316,0.4888688440825929
8,1.2976654789377426,0.5026827632461436,1.4219674823191466,0.6065683646112601,0.614605298218428,0.6127898830061674,0.6688601627878136,0.6069694421120311
9,1.139124292832825,0.5581824279007378,1.1349809494558671,0.6621983914209115,0.6675652282889617,0.6642093928355615,0.7258130064521815,0.6638092672958035
10,0.9584455254452089,0.6405097250167673,1.0913398530104526,0.7218498659517426,0.7391982522070314,0.7366944309399841,0.7982248100295626,0.725840028315814
11,0.7928542295991775,0.6923205902079141,0.8666217065448736,0.8016085790884718,0.7846628228298622,0.7880587060659822,0.8541777309113223,0.7949669001054395
12,0.6926431063785,0.7352448021462106,0.6664211912075652,0.8183646112600537,0.8233781974425959,0.8248985419887801,0.8867913830236644,0.8132520635101972
13,0.5849294943209066,0.7756539235412475,0.593880827141671,0.8458445040214477,0.8558916037631782,0.8527268798253539,0.8773773780853462,0.8503813810154365
14,0.5169398625631767,0.8049966465459423,0.5837495295935118,0.849195710455764,0.8408893816561082,0.8421555677855939,0.8665793325579669,0.852024911652844
15,0.49352496067882784,0.8113682092555332,0.5260316589822238,0.8827077747989276,0.872390480876254,0.8736752767005991,0.8952776275413712,0.8789037813885081
16,0.42031320824089824,0.8420523138832998,0.6043828736351499,0.8498659517426274,0.8472033972820339,0.8393725950366854,0.8638874963937893,0.856321105841809
17,0.42296430792367196,0.8447350771294433,0.4533025725437553,0.8867292225201072,0.8941803705385272,0.8918298863667985,0.9401714264575517,0.8909056682182375
18,0.3670714688253115,0.8668678739101274,0.46847658951944066,0.9061662198391421,0.907251631804408,0.905933737437561,0.9206961000412067,0.9072328915581918
19,0.3470022014269167,0.8755868544600939,0.5454731980892992,0.881367292225201,0.8820724164949866,0.8806915941726158,0.9194817347866965,0.8801452626198151
20,0.3287537510086433,0.8843058350100603,0.4366422264110147,0.9028150134048257,0.9003264035437186,0.8988599314835811,0.9261971258520522,0.9038952733183451
21,0.31462810539823505,0.891851106639839,0.38522761417477924,0.9021447721179625,0.8982867490455915,0.8969385251113767,0.9226424578779452,0.8988602446995114
22,0.2915146850214398,0.897887323943662,0.383771735216034,0.9235924932975871,0.9283561614009467,0.9268817081908891,0.9505152799500817,0.9246788313642647
23,0.2902342427164656,0.9009054325955734,0.8123744706605779,0.9075067024128687,0.9024800328197768,0.9015183055156831,0.9238659094499853,0.90913143873825
24,0.2708648700169634,0.9104627766599598,0.3847026058220512,0.9081769436997319,0.9136358838712448,0.9097951848429325,0.9300859915449896,0.9134504461989984
25,0.2729499144773208,0.9114688128772636,0.4721946287950146,0.8914209115281502,0.8930758736490544,0.8858200715464265,0.9108793309753378,0.8965697270493702
26,0.26173310839314334,0.9191817572099262,0.4382080208689933,0.8947721179624665,0.8956280200761597,0.8933552161979655,0.9273835167932184,0.8972165663305176
