Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_F1_Macro,Val_F1_Weighted,Val_Precision,Val_Recall
0,0.6244003323063061,0.7263513513513513,0.3845192901966159,0.7897897897897898,0.7519543464665416,0.7233293330854307,0.7133579076707038,0.8144892144892145
1,0.3262256609221138,0.8423423423423423,0.4002767899890136,0.8108108108108109,0.7961338634509264,0.7796286913202701,0.8484297828720528,0.8227163912203282
2,0.27223168614341237,0.890015015015015,0.17184093239985462,0.9174174174174174,0.9249896814869905,0.917737860782065,0.9277151072771511,0.9252765538545994
3,0.26131263865691995,0.902027027027027,0.17021236432268597,0.9234234234234234,0.9281662360985418,0.9220620348944675,0.9300405761817813,0.9287073090222697
4,0.22178461872344132,0.9155405405405406,0.17844055251862165,0.9354354354354354,0.940945906261311,0.9355319161037551,0.9442421790722763,0.9399029306857005
5,0.19725272995861529,0.9271771771771772,0.24255176538962203,0.8558558558558559,0.8571416957309984,0.8411617148721123,0.9000983176753331,0.8731423654999385
6,0.19264543867305986,0.9298048048048048,0.17501832466038736,0.9264264264264265,0.9331108676836526,0.9266528151812962,0.9364286348698818,0.9335992314686156
7,0.1877716796954103,0.9335585585585585,0.16261627036625712,0.9324324324324325,0.9373458728572089,0.9316356193606364,0.9366816360851357,0.939038068959329
8,0.16367550018394186,0.9354354354354354,0.20993338235599218,0.933933933933934,0.938861125845687,0.9334518135768868,0.9392499744062245,0.9404625703838304
9,0.16060696151915027,0.93993993993994,0.4637550561564135,0.9084084084084084,0.9183529291320592,0.9105014833818877,0.9304012718345005,0.9149541639120148
10,0.16909744491742143,0.9328078078078078,0.25862366630186573,0.9144144144144144,0.9207084378577619,0.9123407694033913,0.9346707818930041,0.9244595745290511
11,0.1502457210024921,0.9418168168168168,0.3626931906821791,0.8993993993993994,0.9000393847263175,0.8916557345550087,0.9396219135802468,0.9043449696993004
12,0.15842460776472403,0.9433183183183184,0.3091503912796982,0.9069069069069069,0.9140945881070778,0.9062387994806639,0.9186451342281879,0.9135986206852348
13,0.1239892714002466,0.9493243243243243,0.5253039471454954,0.8708708708708709,0.8778843537414968,0.866527609241895,0.8857559622339396,0.8808578414877628
14,0.11572866328357002,0.9493243243243243,0.34895018122954097,0.8993993993993994,0.9084684079393074,0.8993808119028577,0.9089888649425287,0.9089328577517554
