Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_F1_Macro,Val_F1_Weighted,Val_Precision,Val_Recall
0,1.8355527878165603,0.3058058058058058,1.0208065625429152,0.6636636636636637,0.6197598603079819,0.6186008761982039,0.6392722906908761,0.6621826124318215
1,0.7739803821493585,0.7102102102102102,0.6224552626013756,0.7637637637637638,0.7433085007502707,0.7387881702258753,0.7535706435046369,0.763594642450174
2,0.45583392135580786,0.8103103103103103,0.295606279367581,0.8438438438438438,0.8161084786214742,0.8083068987292352,0.9094520816720844,0.8530306847675184
3,0.34840983339158044,0.8430930930930931,0.23519433840643614,0.8788788788788788,0.8795988391831514,0.8746137279171877,0.8855140923483336,0.8850247561188339
4,0.28426929248100213,0.8698698698698699,0.2820756191358669,0.8778778778778779,0.8495206100402057,0.8499051804978242,0.9188855321908407,0.8781740333338633
5,0.23237661962291412,0.8901401401401401,0.3351658904553624,0.8368368368368369,0.822760009627567,0.8137493770609667,0.8794379702952384,0.8460093053308803
6,0.23591240162661145,0.8983983983983984,0.14563759659952485,0.9329329329329329,0.9353216893408443,0.9326555411318967,0.9368666931073173,0.9349981926819986
7,0.20005329948132447,0.9191691691691691,0.10358573052636348,0.953953953953954,0.9547049744063789,0.9532248878554297,0.9577057741556845,0.9548866514007224
8,0.1982903735567977,0.9179179179179179,0.1738643066037039,0.9049049049049049,0.8976323677764692,0.8920862843318351,0.9407106657813872,0.9123030732041192
9,0.16884326460459412,0.9309309309309309,0.1205574043381639,0.9409409409409409,0.9420088416862382,0.9400318208842763,0.9435394423021894,0.9426132048819097
10,0.16001700330170032,0.9396896896896897,0.10789604011851953,0.963963963963964,0.9647516973736487,0.9634610947078903,0.9703161750981426,0.9665689253517011
11,0.15524850655277592,0.9444444444444444,0.057062753710946705,0.9679679679679679,0.9693395447186705,0.967934631033055,0.9702097611630323,0.9698706971434246
12,0.13658835658588497,0.9461961961961962,0.1143208927315818,0.9669669669669669,0.9672025346423972,0.9662865079531746,0.9714275454766034,0.967153402017507
13,0.1447882734435473,0.9464464464464465,0.23165332749229492,0.91991991991992,0.9176381871738079,0.9137570322834967,0.9476328374130019,0.9255711557143265
14,0.13594821827084386,0.944944944944945,0.07576761603391059,0.968968968968969,0.9694410422299428,0.9687396619299237,0.9737900020944665,0.9686444021416292
15,0.09961501210462366,0.9577077077077077,0.20669938285881653,0.91991991991992,0.9138606910642719,0.9116904681328971,0.9366381246122226,0.9202767893862607
16,0.1268412353673343,0.9464464464464465,0.05593670227421535,0.9679679679679679,0.9690705328500605,0.9675451979913923,0.9751359751359752,0.9706152433425161
17,0.09883292163961262,0.9602102102102102,0.04655469985291984,0.9679679679679679,0.9692541473973029,0.9679310333858484,0.9693700250884891,0.9695575045534821
18,0.05493806378617901,0.9727227227227228,0.03816133571320643,0.977977977977978,0.978369019264484,0.9776084269276901,0.9824996990489948,0.9779779779779779
