Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_F1_Macro,Val_F1_Weighted,Val_Precision,Val_Recall
0,1.3036028488737639,0.3744198040226921,1.0978408109757207,0.5237113402061856,0.49164799233735473,0.4888896527192395,0.5313906870263443,0.530201800181517
1,1.009734936913506,0.5121196493037649,0.8480126011756158,0.6,0.5844656609416263,0.5953109140605952,0.5875243776861111,0.5862476540187679
2,0.8167293562752301,0.6039195461578133,0.7202278990899363,0.6268041237113402,0.6119701248417964,0.6136189522629443,0.6564031332872131,0.6366158419304073
3,0.6960381469765647,0.6869520371325425,0.6002211791853751,0.6865979381443299,0.6757237305797452,0.6854375160278527,0.6889039956769117,0.6726611878533543
4,0.6008890791506064,0.7302733367715317,0.637601516900524,0.6907216494845361,0.6963755038471149,0.7026450149055395,0.7294048551858138,0.6972620671279527
5,0.5065609864035591,0.7839092315626611,0.47221779390688867,0.7855670103092783,0.7811133542670724,0.784910762396776,0.7958274492497793,0.7903143073630922
6,0.4580489428805523,0.7937080969571945,0.3922108858823776,0.822680412371134,0.8176916624091601,0.8243340124805847,0.820084085834644,0.8203354565816534
7,0.35793767139682026,0.851985559566787,0.31730577782277136,0.8762886597938144,0.8713692387467342,0.8767273690255336,0.8708516991626829,0.8726580904087461
8,0.2990878651559841,0.8849922640536358,0.31472958600328815,0.8556701030927835,0.852241425951729,0.8586612144759287,0.858661237420259,0.8566161999683595
9,0.2500541009253166,0.9082001031459516,0.28326164630632245,0.8969072164948454,0.8930766631602631,0.8970883711985554,0.894650261175685,0.8984671812421419
