Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_F1_Macro,Val_F1_Weighted,Val_Precision,Val_Recall,Learning_Rate
1,3.0432942319763816,0.13229376257545272,2.237960430316567,0.35656836461126007,0.28453835367092495,0.2892596905275496,0.301527303912866,0.35532300761020724,0.0001
2,1.6121777046114547,0.5011737089201878,1.2232670102458219,0.6454423592493298,0.6282157012059083,0.6226751709842486,0.6980572361149302,0.6534695384088259,0.0001
3,1.0788491132033902,0.6524144869215291,0.877082225944018,0.703083109919571,0.6952811444455539,0.6887505935031067,0.7395407308936726,0.7112773662974081,0.0001
4,0.8684460625282315,0.7282025486250838,0.6538356254751178,0.8022788203753352,0.8001736833116994,0.7922132424764791,0.8291543658769259,0.8119031847855605,0.0001
5,0.7042587299445191,0.7828638497652582,0.6966438377775431,0.7908847184986595,0.7983271504362729,0.7974532945655313,0.8588846519718784,0.7946773340148259,0.0001
6,0.6305947918485473,0.8006371562709591,0.5008047028224986,0.8264075067024129,0.8205138287628198,0.818898052905917,0.8456889306720906,0.8261970808316744,0.0001
7,0.5522977700667789,0.8232729711602951,0.5714817369661367,0.824396782841823,0.8214049426658776,0.8221386331905159,0.8639645330305126,0.8262509416924341,0.0001
8,0.5385343225863821,0.8335010060362174,0.46483597600172166,0.8445040214477212,0.8442193221156585,0.84079314047395,0.8693690937032309,0.8493226967318797,0.0001
9,0.4854513003983073,0.8472501676727029,0.41727339145608855,0.863941018766756,0.8707670637659309,0.8687270512168099,0.9022116875459525,0.8677114055531334,0.0001
10,0.4839223445706865,0.846244131455399,0.3042574517691668,0.9115281501340483,0.9208421249120713,0.9189892009016588,0.9462348047577858,0.9144163871293682,0.0001
11,0.415196016976293,0.8645204560697518,0.3519760989151763,0.8934316353887399,0.8943818631947625,0.8933955060260977,0.9200837234970083,0.8972914364240673,0.0001
12,0.40098844017279267,0.8713950368879947,0.26107903218428025,0.9088471849865952,0.9142394218875899,0.9121703094007857,0.9297305929549113,0.912098780801931,0.0001
13,0.3824289777794541,0.8801140174379611,0.24557715046141151,0.9155495978552279,0.9168818936964631,0.9159236634221832,0.930266326197438,0.9175860413193221,0.0001
14,0.3670745385352372,0.8869885982562039,0.26670883671831885,0.9148793565683646,0.9152866845918308,0.9144970991208412,0.9308728766121351,0.9172496893624205,0.0001
15,0.3430713577500987,0.8930248155600268,0.222177568310544,0.9215817694369973,0.926615097785822,0.9244384206039877,0.9449579300520511,0.9216326808991832,0.0001
16,0.33400113888307736,0.8950368879946344,0.24536842398854047,0.9148793565683646,0.9150924360600785,0.9141207659712344,0.927514803734275,0.9184583464225468,0.0001
17,0.33524390213701666,0.8988933601609658,0.5503371159448779,0.8753351206434317,0.8784324797801795,0.877534741182944,0.918288221994216,0.8772167189815299,0.0001
18,0.3134600718571247,0.9027498323272971,0.4633452019669976,0.8652815013404825,0.878840880028844,0.8742831208262144,0.9134207144169155,0.870909842972986,0.0001
19,0.29329398906714244,0.9084507042253521,0.22813858407140097,0.9175603217158177,0.9259617018829256,0.9237452020816243,0.9531870219286411,0.918983485814002,0.0001
20,0.2856262360022357,0.9104627766599598,0.454397033477344,0.8719839142091153,0.8798784912569546,0.877703564866741,0.9161070360809952,0.875667321239578,0.0001
