Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_F1_Macro,Val_F1_Weighted,Val_Precision,Val_Recall
0,1.4081801670100156,0.3338287752675386,1.208952447281608,0.42528735632183906,0.31587016375841104,0.3244334988311209,0.3556391718374184,0.409654544071216
1,1.1634734599790557,0.44530321046373367,1.018044271423847,0.49623464130003964,0.4531675117214558,0.4487283026324615,0.46826213893495894,0.5019686042833997
2,0.9900710000855798,0.5276456599286563,0.9185072741930997,0.536662703131193,0.4861050974769453,0.48116656351451303,0.5426151332812363,0.5447257712471627
3,0.8252721394865336,0.6123662306777645,0.7337418270261982,0.6262386048355133,0.6126523460026199,0.6076557740762045,0.6447357823376847,0.6327952131462152
4,0.6939367846764399,0.6629013079667063,0.6117055623591701,0.6876734046769719,0.6565413212929555,0.6502901376116506,0.6977227571628,0.6966178183445261
5,0.6220744752609976,0.6984740388426477,0.580012742948683,0.6940150614347999,0.6650908294841505,0.6589382424098573,0.6874634888123853,0.7021628612277517
6,0.5756368967697095,0.7168053904082442,0.5546201277948632,0.7130400317082838,0.7038029216537063,0.7000259478317507,0.7070728041941183,0.7183712998956028
7,0.5369367660650549,0.72760602457392,0.4873345714015297,0.7332540626238605,0.7289395278307078,0.7259885568902421,0.7261553254821131,0.7373581597886887
8,0.49842461825550644,0.7375148632580262,0.5667011861371088,0.718192627824019,0.7144714303481361,0.7116507262511698,0.7254772595367589,0.7222416710913939
9,0.47631824696687436,0.7494054696789536,0.4645556218073338,0.7336504161712247,0.7147983798796776,0.7087413107758396,0.7593892048699619,0.7419829703977681
10,0.43609686611477055,0.7650614347998415,0.43798184149627445,0.749900911613159,0.740663296265847,0.7361560408462392,0.7604520942604285,0.7567480830426853
11,0.4292972550362868,0.7704122076892588,0.4348340532447718,0.7530717399920729,0.7213382338509,0.713693586585874,0.7752448149024797,0.7638862002102422
12,0.40946636240333084,0.7843836702338486,0.4198296752440024,0.7724930638129212,0.7588237480124659,0.7583283092592645,0.7633281940801865,0.7719361881192293
13,0.39266502780459006,0.7904280618311534,0.4696389285823967,0.7471264367816092,0.7471580233878047,0.7446460308095489,0.7466025149568625,0.7497929989966776
14,0.3722258592393432,0.8062822037257233,0.38058934634244895,0.7998414585810543,0.8012390936170114,0.7994490001646517,0.800935026989307,0.8021119700075191
15,0.3562390700029873,0.8123265953230281,0.3729585841581037,0.7990487514863258,0.7951062256618386,0.793208780507266,0.7922387960250101,0.8020789456865366
16,0.34314911264081954,0.821739992072929,0.38617499528712107,0.8117320650019818,0.8024711715359778,0.8026053218079292,0.8207110428529033,0.8090933365595392
17,0.3179774607831344,0.8342251288149028,0.3457410898578318,0.810543004359889,0.8087383688037045,0.8064718415369948,0.8066648050876342,0.8139264098149009
18,0.2979805482678387,0.8388822829964329,0.3360565698033647,0.8299643281807372,0.8226474062473492,0.8221829037836347,0.8390381523837004,0.8289175894619953
19,0.2969765824290869,0.8432421720174396,0.35932552743750285,0.8156956004756243,0.8156171359349887,0.8141422528745563,0.8157989935592458,0.8171632820957047
20,0.2792506419570907,0.8462148236226714,0.3324699713318031,0.8263971462544589,0.8195497380822803,0.8192838417040017,0.8448613762954172,0.8247113139471086
21,0.27487403462919896,0.8531510107015458,0.34309352361420287,0.8113357114546175,0.8135609681724573,0.8109293726895419,0.8218545169528213,0.8147920576929385
22,0.26270671089795283,0.8541418945699564,0.33710672027914773,0.8188664288545382,0.8208833086112776,0.8185597901087434,0.8246334256904866,0.8219474868451817
23,0.25085924707187807,0.8602853745541023,0.3098379452300223,0.8398731668648435,0.8328668001325257,0.8324658684802144,0.8537861856845572,0.8386130801241733
24,0.24363216652391737,0.8628616726119699,0.34073453439882945,0.816884661117717,0.8142204580953625,0.8116901584793791,0.8136344919426308,0.8212840232701136
25,0.24691425960012098,0.8570154577883472,0.34680977947066854,0.8240190249702735,0.8184524557368154,0.8176084660307683,0.8263560304608031,0.8236192422269596
26,0.24349773707305172,0.8640507332540627,0.3010878523552342,0.8283789139912803,0.831947232558681,0.8300775631341881,0.8345776149813956,0.8303939877678221
27,0.22881041235687496,0.8668252080856124,0.29705386281697244,0.8303606817281015,0.831385850529138,0.8287382807971084,0.8374166315591894,0.8341908193036195
28,0.2270266611391764,0.871086008719778,0.29067598957615565,0.8351169242964724,0.8356049817108551,0.8334689913694845,0.8341480775913424,0.8379185314183498
29,0.22381448432457782,0.8699960364645264,0.30589849816611675,0.8275862068965517,0.826017711634424,0.8230736240443334,0.8296420568897318,0.8322263161265786
30,0.2174371283094763,0.8748513674197385,0.28929364094157006,0.8410622275069362,0.8402653827977732,0.8395857247615992,0.8547410200632702,0.8397841230500651
31,0.21208542263450428,0.8782203725723345,0.27380814561266686,0.8513674197384067,0.8478491525749237,0.8475244475112153,0.8859244706942704,0.848492211062417
32,0.2030607974250829,0.8818866428854538,0.28369281422111053,0.8422512881490289,0.83594586539865,0.8325186109668182,0.8522229232283461,0.8483265851642425
33,0.20369966674223672,0.8751486325802615,0.2927627769974226,0.8319460959175584,0.8292460192783322,0.8266215122031348,0.8304586381897187,0.8363698593162707
34,0.2117972299615722,0.8786167261196988,0.2891398075543627,0.8339278636543797,0.8378386437900535,0.8358492743907273,0.8412941160165353,0.8361027392872066
35,0.20429753386042865,0.8786167261196988,0.27076119247417235,0.8386841062227507,0.8350134281473235,0.8317473221433099,0.8445128549595939,0.8440972160544774
36,0.197661682970751,0.8780221957986524,0.33907699521300916,0.83115338882283,0.8239554075914638,0.8204632241623644,0.8415047500564091,0.8378060220697409
37,0.20131184557370144,0.8794094332144272,0.27052091915253257,0.8414585810543004,0.84338068038643,0.8416790534271866,0.8437451792152937,0.843058956328832
38,0.20051407000467733,0.8839674990091161,0.34529356057225147,0.8224336107808164,0.8228090916640302,0.8204031834622911,0.8238766283677625,0.825592732925848
39,0.19374957312506036,0.8843638525564804,0.3028711617888906,0.8442330558858502,0.8444971378842215,0.8433682729523866,0.8492345483017795,0.8445508826130095
40,0.18677721111774273,0.8827784383670234,0.29121843438567535,0.8430439952437574,0.8454001052394744,0.843272290329562,0.8489034367813371,0.8457701967274115
41,0.1967339766818422,0.8825802615933412,0.3084426455721377,0.8394768133174791,0.8373980929853999,0.8344719473674598,0.8485728565101527,0.8444243611664655
