Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_F1_Macro,Val_F1_Weighted,Val_Precision,Val_Recall,Learning_Rate
1,1.7005543163171164,0.36186186186186187,0.8478715989291667,0.7067067067067067,0.6725728923651499,0.6627852028178302,0.6679592767667106,0.7124255316261331,0.0001
2,0.6574982855491363,0.756006006006006,0.44064476082101467,0.8408408408408409,0.8153059701659999,0.8114357170544755,0.8137672162259453,0.8412875908423697,0.0001
3,0.4067234700591757,0.835085085085085,0.28535850673832464,0.8608608608608609,0.8339176069677132,0.8309354482711263,0.8763294854083687,0.8609500108362825,0.0001
4,0.30377665786778796,0.8601101101101101,0.23387513269134796,0.8638638638638638,0.8397628378353031,0.8364782905058433,0.8453692887352244,0.8638648959123226,0.0001
5,0.23710593637317018,0.8823823823823824,0.17706000811872946,0.914914914914915,0.9166473917935508,0.9138972656677913,0.9172924983257915,0.918349351844888,0.0001
6,0.21529472373541095,0.9031531531531531,0.19886603649858808,0.8888888888888888,0.8818977642067638,0.8755712316573039,0.9110884491918976,0.8963828230400649,0.0001
7,0.18998877263291322,0.9151651651651652,0.10523460724138022,0.9479479479479479,0.9503196677111225,0.9481398311681423,0.9511241446725318,0.9504524651483545,0.0001
8,0.17391623617672608,0.9309309309309309,0.12517386117194473,0.9579579579579579,0.9596559002514259,0.9577184684261243,0.9627299373357592,0.9607056775198368,0.0001
9,0.15351647905748808,0.9374374374374375,0.08437825092403818,0.950950950950951,0.9517412000493104,0.9501925047054453,0.9553859638667898,0.95182726317387,0.0001
10,0.12257698028274949,0.9507007007007007,0.1260500602957536,0.95995995995996,0.9616833934545281,0.9599080233131448,0.9641019214703425,0.962459497455475,0.0001
11,0.11783480035357631,0.9547047047047047,0.08559664174289901,0.963963963963964,0.9653754626524579,0.9637217275401938,0.9703720834618151,0.9666289561703881,0.0001
12,0.10642059537427064,0.9512012012012012,0.06446567278453585,0.963963963963964,0.9653303963377593,0.9638087383346197,0.9692281082277814,0.9664812182913551,0.0001
13,0.10054311732147544,0.9629629629629629,0.14203827357252885,0.958958958958959,0.9601400050984569,0.9588456285719857,0.9628492766053781,0.9611299669513329,0.0001
14,0.11027272341202711,0.9524524524524525,0.06389536795201639,0.975975975975976,0.9765879114316163,0.9757036135299969,0.98034360006191,0.9760764201633066,0.0001
15,0.09617129121029423,0.95995995995996,0.05598063323037604,0.972972972972973,0.9735705153808603,0.9726360718788492,0.9766191378796947,0.9732565887030893,0.0001
16,0.08859553420605729,0.9644644644644644,0.05296042664488118,0.970970970970971,0.9718247533781513,0.9707557306875071,0.9744136945337757,0.9713727477202939,0.0001
17,0.08413425506727207,0.9652152152152152,0.07776892093485367,0.964964964964965,0.9659081577619733,0.9643269561762265,0.9726046698872786,0.9676332206791438,0.0001
18,0.07768484421124627,0.9634634634634635,0.06222357068264455,0.970970970970971,0.9718442937025833,0.9708140050315244,0.9738415254798206,0.9714073042850117,0.0001
19,0.08040116431197161,0.9634634634634635,0.07767029674849572,0.9679679679679679,0.9691835413674923,0.9677039786030428,0.9751359751359752,0.9705502328189376,0.0001
20,0.09544622293834337,0.9624624624624625,0.05340686650134512,0.975975975975976,0.9766600518278593,0.9757320739811687,0.980181376851127,0.9760941369951828,0.0001
21,0.0448565098867434,0.973973973973974,0.04702154555051311,0.96996996996997,0.9711508557517947,0.9697790927524886,0.9763593380614657,0.9723867801100303,5e-05
22,0.050416969275607335,0.9717217217217218,0.041159229992013026,0.96996996996997,0.9711508557517947,0.9697790927524886,0.9763593380614657,0.9723867801100303,5e-05
23,0.04856328644490116,0.974974974974975,0.05678642484603279,0.968968968968969,0.9701684974805018,0.9687430888433531,0.9757433489827856,0.9714685064644839,5e-05
24,0.05342132361985064,0.9737237237237237,0.04887567254041324,0.96996996996997,0.9711508557517947,0.9697790927524886,0.9763593380614657,0.9723867801100303,5e-05
25,0.04294624885343725,0.9732232232232232,0.05070694082300361,0.96996996996997,0.9710492163322352,0.9696327054817621,0.9763593380614657,0.9724517906336089,5e-05
26,0.05525877103240156,0.9724724724724725,0.042449640577561926,0.970970970970971,0.9720346574058488,0.9706717921932181,0.976984126984127,0.9733700642791552,5e-05
27,0.045981674419192826,0.9734734734734735,0.039922471207773924,0.96996996996997,0.9711508557517947,0.9697790927524886,0.9763593380614657,0.9723867801100303,5e-05
28,0.04877433273068974,0.973973973973974,0.04155831202758054,0.970970970970971,0.9720346574058488,0.9706717921932181,0.976984126984127,0.9733700642791552,5e-05
29,0.03722892059227764,0.9767267267267268,0.03870706764205261,0.970970970970971,0.9720346574058488,0.9706717921932181,0.976984126984127,0.9733700642791552,2.5e-05
30,0.04051566386401451,0.973973973973974,0.048545704767558165,0.96996996996997,0.9711508557517947,0.9697790927524886,0.9763593380614657,0.9723867801100303,2.5e-05
31,0.03683357632582562,0.9772272272272272,0.04251307776734757,0.978978978978979,0.9795770504713595,0.9787981519146831,0.9824480840859228,0.9790794231663098,2.5e-05
32,0.040188109345994975,0.9734734734734735,0.04341429709249587,0.975975975975976,0.977037037037037,0.9760048937826714,0.9787070164977142,0.9776482399169447,2.5e-05
